date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:34	142603/142603	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:54:29%20GMT	https://capitol-soft.com/img/call-to-action-bg.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/call-to-action-bg.jpg	(from https://capitol-soft.com/css/style.css)
11:49:34	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/ayedi/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://capitol-soft.com/css/style.css)
11:49:35	666580/666580	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:56:24%20GMT	https://capitol-soft.com/img/1.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/1.jpg	(from https://capitol-soft.com/css/style.css)
11:49:35	594783/594783	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:51:25%20GMT	https://capitol-soft.com/img/services-bg.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/services-bg.jpg	(from https://capitol-soft.com/css/style.css)
11:49:36	2577/2577	---M-Z	200	added ('OK')	image/png	etag:%225eb03cf0-a11%22	http://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	C:/My%20Web%20Sites/ayedi/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.video.play.png	(from http://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css)
11:49:36	77929/77929	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Jan%202020%2018:55:03%20GMT	https://capitol-soft.com/img/back.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/back.jpg	(from https://capitol-soft.com/css/cost.css)
11:49:37	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/bootstrap/css/bootstrap.min.html	(from https://capitol-soft.com/)
11:49:37	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/font-awesome/css/font-awesome.min.html	(from https://capitol-soft.com/)
11:49:37	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/ionicons/css/ionicons.min.css	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/ionicons/css/ionicons.min.html	(from https://capitol-soft.com/)
11:49:37	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/magnific-popup/magnific-popup.css	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/magnific-popup/magnific-popup.html	(from https://capitol-soft.com/)
11:49:37	40513/40513	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Jan%202023%2010:49:37%20GMT	https://capitol-soft.com/fr/index.php	C:/My%20Web%20Sites/ayedi/capitol-soft.com/fr/index-2.html	(from https://capitol-soft.com/fr/)
11:49:37	0/-1	---M--	500	error ('')			https://capitol-soft.com/+21644162995	C:/My%20Web%20Sites/ayedi/capitol-soft.com/+21644162995.html	(from https://capitol-soft.com/)
11:49:38	670/670	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2010%20Jan%202023%2010:49:39%20GMT	https://capitol-soft.com/img/about-bg.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/about-bg.html	(from https://capitol-soft.com/css/style.css)
11:49:38	670/670	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2010%20Jan%202023%2010:49:39%20GMT	https://capitol-soft.com/lib/jquery/jquery.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/jquery/jquery.min.html	(from https://capitol-soft.com/)
11:49:38	670/670	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2010%20Jan%202023%2010:49:39%20GMT	https://capitol-soft.com/lib/animate/animate.min.css	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/animate/animate.min.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/jquery/jquery-migrate.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/jquery/jquery-migrate.min.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/bootstrap/js/bootstrap.bundle.min.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/easing/easing.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/easing/easing.min.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/wow/wow.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/wow/wow.min.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/superfish/hoverIntent.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/superfish/hoverIntent.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/superfish/superfish.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/superfish/superfish.min.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/magnific-popup/magnific-popup.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/magnific-popup/magnific-popup.min.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/contactform/contactform.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/contactform/contactform.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/bootstrap/css/bootstrap.min.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/font-awesome/css/font-awesome.min.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/ionicons/css/ionicons.min.css	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/ionicons/css/ionicons.min.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/magnific-popup/magnific-popup.css	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/magnific-popup/magnific-popup.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/+21644162995	C:/My%20Web%20Sites/ayedi/capitol-soft.com/+21644162995.html	(from https://capitol-soft.com/)
11:49:38	670/670	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2010%20Jan%202023%2010:49:39%20GMT	https://capitol-soft.com/lib/jquery/jquery.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/jquery/jquery.min.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/jquery/jquery-migrate.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/jquery/jquery-migrate.min.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/bootstrap/js/bootstrap.bundle.min.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/easing/easing.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/easing/easing.min.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/wow/wow.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/wow/wow.min.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/superfish/hoverIntent.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/superfish/hoverIntent.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/superfish/superfish.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/superfish/superfish.min.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/lib/magnific-popup/magnific-popup.min.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/lib/magnific-popup/magnific-popup.min.html	(from https://capitol-soft.com/)
11:49:38	0/-1	---M--	500	error ('')			https://capitol-soft.com/contactform/contactform.js	C:/My%20Web%20Sites/ayedi/capitol-soft.com/contactform/contactform.html	(from https://capitol-soft.com/)
11:49:39	670/670	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2010%20Jan%202023%2010:49:39%20GMT	https://capitol-soft.com/img/about-bg.jpg	C:/My%20Web%20Sites/ayedi/capitol-soft.com/img/about-bg.html	(from https://capitol-soft.com/css/style.css)
